Archivo,Tipo,Parametros,Descripcion
WASH_222_D133.6-46.8.dxf,Arandela,"D_exterior=133.59, D_interior=46.80",Arandela Ø133.6mm / Ø46.8mm
WASH_222_D133.6-46.8_23holes.dxf,Arandela con agujeros,"D_exterior=133.59, D_interior=46.80, Agujeros=23, D_agujero=13.14",Arandela Ø133.6/Ø46.8mm con 23 agujeros de Ø13.1mm (circular)
RECT_223_100.8x1062.9.dxf,Rectangulo,"Ancho=100.82, Largo=1062.88",Rectángulo de 100.8mm x 1062.9mm
RECT_223_100.8x1062.9_32holes.dxf,Rectangulo con agujeros,"Ancho=100.82, Largo=1062.88, Agujeros=32, Diametros=[13.41, 4.55, 8.76, 7.32, 7.56, 11.54, 5.03, 14.39, 7.04, 13.31, 4.61, 10.75, 13.80, 4.42, 6.05, 6.74, 8.50, 12.38, 13.79, 14.71, 10.31, 11.38, 7.83, 6.09, 12.75, 8.87, 11.13, 7.51, 9.86, 6.92, 5.64, 4.37]",Rectángulo 100.8x1062.9mm con 32 agujeros (distribución cuadricula)
WASH_224_D922.9-483.3.dxf,Arandela,"D_exterior=922.94, D_interior=483.26",Arandela Ø922.9mm / Ø483.3mm
WASH_224_D922.9-483.3_2holes.dxf,Arandela con agujeros,"D_exterior=922.94, D_interior=483.26, Agujeros=2, D_agujero=7.07",Arandela Ø922.9/Ø483.3mm con 2 agujeros de Ø7.1mm (circular)
WASH_225_D1422.7-927.6.dxf,Arandela,"D_exterior=1422.70, D_interior=927.65",Arandela Ø1422.7mm / Ø927.6mm
WASH_225_D1422.7-927.6_23holes.dxf,Arandela con agujeros,"D_exterior=1422.70, D_interior=927.65, Agujeros=23, D_agujero=14.46",Arandela Ø1422.7/Ø927.6mm con 23 agujeros de Ø14.5mm (circular)
RECT_226_1268.6x411.4.dxf,Rectangulo,"Ancho=1268.62, Largo=411.38",Rectángulo de 1268.6mm x 411.4mm
RECT_226_1268.6x411.4_4holes.dxf,Rectangulo con agujeros,"Ancho=1268.62, Largo=411.38, Agujeros=4, Diametros=[7.59, 10.01, 8.91, 8.92]",Rectángulo 1268.6x411.4mm con 4 agujeros (distribución cuadricula)
RECT_227_1228.8x35.1.dxf,Rectangulo,"Ancho=1228.81, Largo=35.08",Rectángulo de 1228.8mm x 35.1mm
RECT_227_1228.8x35.1_16holes.dxf,Rectangulo con agujeros,"Ancho=1228.81, Largo=35.08, Agujeros=16, Diametros=[6.65, 10.17, 8.21, 13.08, 13.35, 4.16, 6.35, 9.98, 9.20, 14.08, 7.52, 5.58, 4.11, 7.14, 7.96, 8.85]",Rectángulo 1228.8x35.1mm con 16 agujeros (distribución circular)
WASH_228_D309.1-146.3.dxf,Arandela,"D_exterior=309.12, D_interior=146.30",Arandela Ø309.1mm / Ø146.3mm
WASH_228_D309.1-146.3_35holes.dxf,Arandela con agujeros,"D_exterior=309.12, D_interior=146.30, Agujeros=35, D_agujero=11.16",Arandela Ø309.1/Ø146.3mm con 35 agujeros de Ø11.2mm (circular)
WASH_229_D881.4-692.4.dxf,Arandela,"D_exterior=881.43, D_interior=692.43",Arandela Ø881.4mm / Ø692.4mm
WASH_229_D881.4-692.4_33holes.dxf,Arandela con agujeros,"D_exterior=881.43, D_interior=692.43, Agujeros=33, D_agujero=10.14",Arandela Ø881.4/Ø692.4mm con 33 agujeros de Ø10.1mm (circular)
WASH_230_D1140.1-438.3.dxf,Arandela,"D_exterior=1140.10, D_interior=438.31",Arandela Ø1140.1mm / Ø438.3mm
WASH_230_D1140.1-438.3_43holes.dxf,Arandela con agujeros,"D_exterior=1140.10, D_interior=438.31, Agujeros=43, D_agujero=8.29",Arandela Ø1140.1/Ø438.3mm con 43 agujeros de Ø8.3mm (circular)
RECT_231_1834.4x644.1.dxf,Rectangulo,"Ancho=1834.38, Largo=644.05",Rectángulo de 1834.4mm x 644.1mm
RECT_231_1834.4x644.1_2holes.dxf,Rectangulo con agujeros,"Ancho=1834.38, Largo=644.05, Agujeros=2, Diametros=[11.25, 8.37]",Rectángulo 1834.4x644.1mm con 2 agujeros (distribución aleatoria)
RECT_232_1055.9x289.3.dxf,Rectangulo,"Ancho=1055.93, Largo=289.32",Rectángulo de 1055.9mm x 289.3mm
RECT_232_1055.9x289.3_8holes.dxf,Rectangulo con agujeros,"Ancho=1055.93, Largo=289.32, Agujeros=8, Diametros=[8.03, 14.97, 5.03, 6.32, 8.75, 5.89, 8.00, 11.89]",Rectángulo 1055.9x289.3mm con 8 agujeros (distribución aleatoria)
WASH_233_D988.0-688.9.dxf,Arandela,"D_exterior=988.04, D_interior=688.86",Arandela Ø988.0mm / Ø688.9mm
WASH_233_D988.0-688.9_19holes.dxf,Arandela con agujeros,"D_exterior=988.04, D_interior=688.86, Agujeros=19, D_agujero=9.16",Arandela Ø988.0/Ø688.9mm con 19 agujeros de Ø9.2mm (circular)
RECT_234_1698.5x408.1.dxf,Rectangulo,"Ancho=1698.48, Largo=408.12",Rectángulo de 1698.5mm x 408.1mm
RECT_234_1698.5x408.1_1holes.dxf,Rectangulo con agujeros,"Ancho=1698.48, Largo=408.12, Agujeros=1, Diametros=[4.83]",Rectángulo 1698.5x408.1mm con 1 agujeros (distribución cuadricula)
WASH_235_D304.0-121.7.dxf,Arandela,"D_exterior=304.02, D_interior=121.66",Arandela Ø304.0mm / Ø121.7mm
WASH_235_D304.0-121.7_39holes.dxf,Arandela con agujeros,"D_exterior=304.02, D_interior=121.66, Agujeros=39, D_agujero=5.56",Arandela Ø304.0/Ø121.7mm con 39 agujeros de Ø5.6mm (circular)
RECT_236_1273.0x1330.9.dxf,Rectangulo,"Ancho=1273.00, Largo=1330.91",Rectángulo de 1273.0mm x 1330.9mm
RECT_236_1273.0x1330.9_1holes.dxf,Rectangulo con agujeros,"Ancho=1273.00, Largo=1330.91, Agujeros=1, Diametros=[13.07]",Rectángulo 1273.0x1330.9mm con 1 agujeros (distribución cuadricula)
WASH_237_D674.6-330.3.dxf,Arandela,"D_exterior=674.58, D_interior=330.33",Arandela Ø674.6mm / Ø330.3mm
WASH_237_D674.6-330.3_4holes.dxf,Arandela con agujeros,"D_exterior=674.58, D_interior=330.33, Agujeros=4, D_agujero=4.05",Arandela Ø674.6/Ø330.3mm con 4 agujeros de Ø4.1mm (circular)
RECT_238_2352.7x50.1.dxf,Rectangulo,"Ancho=2352.66, Largo=50.08",Rectángulo de 2352.7mm x 50.1mm
RECT_238_2352.7x50.1_8holes.dxf,Rectangulo con agujeros,"Ancho=2352.66, Largo=50.08, Agujeros=8, Diametros=[4.00, 8.84, 6.73, 4.01, 12.46, 14.57, 8.90, 7.36]",Rectángulo 2352.7x50.1mm con 8 agujeros (distribución cuadricula)
RECT_239_2734.9x1046.8.dxf,Rectangulo,"Ancho=2734.91, Largo=1046.76",Rectángulo de 2734.9mm x 1046.8mm
RECT_239_2734.9x1046.8_8holes.dxf,Rectangulo con agujeros,"Ancho=2734.91, Largo=1046.76, Agujeros=8, Diametros=[8.83, 4.69, 7.90, 9.93, 12.65, 6.09, 13.84, 7.52]",Rectángulo 2734.9x1046.8mm con 8 agujeros (distribución cuadricula)
WASH_240_D230.3-126.3.dxf,Arandela,"D_exterior=230.29, D_interior=126.25",Arandela Ø230.3mm / Ø126.3mm
WASH_240_D230.3-126.3_37holes.dxf,Arandela con agujeros,"D_exterior=230.29, D_interior=126.25, Agujeros=37, D_agujero=6.12",Arandela Ø230.3/Ø126.3mm con 37 agujeros de Ø6.1mm (circular)
RECT_241_2811.8x431.0.dxf,Rectangulo,"Ancho=2811.81, Largo=430.97",Rectángulo de 2811.8mm x 431.0mm
RECT_241_2811.8x431.0_4holes.dxf,Rectangulo con agujeros,"Ancho=2811.81, Largo=430.97, Agujeros=4, Diametros=[5.12, 4.30, 4.04, 9.95]",Rectángulo 2811.8x431.0mm con 4 agujeros (distribución circular)
WASH_242_D756.9-547.7.dxf,Arandela,"D_exterior=756.89, D_interior=547.66",Arandela Ø756.9mm / Ø547.7mm
WASH_242_D756.9-547.7_39holes.dxf,Arandela con agujeros,"D_exterior=756.89, D_interior=547.66, Agujeros=39, D_agujero=5.69",Arandela Ø756.9/Ø547.7mm con 39 agujeros de Ø5.7mm (circular)
WASH_243_D1056.7-478.4.dxf,Arandela,"D_exterior=1056.74, D_interior=478.42",Arandela Ø1056.7mm / Ø478.4mm
WASH_243_D1056.7-478.4_25holes.dxf,Arandela con agujeros,"D_exterior=1056.74, D_interior=478.42, Agujeros=25, D_agujero=11.61",Arandela Ø1056.7/Ø478.4mm con 25 agujeros de Ø11.6mm (circular)
RECT_244_1677.7x211.8.dxf,Rectangulo,"Ancho=1677.65, Largo=211.85",Rectángulo de 1677.7mm x 211.8mm
RECT_244_1677.7x211.8_4holes.dxf,Rectangulo con agujeros,"Ancho=1677.65, Largo=211.85, Agujeros=4, Diametros=[10.35, 8.94, 14.19, 10.39]",Rectángulo 1677.7x211.8mm con 4 agujeros (distribución circular)
WASH_245_D723.1-395.2.dxf,Arandela,"D_exterior=723.12, D_interior=395.23",Arandela Ø723.1mm / Ø395.2mm
WASH_245_D723.1-395.2_47holes.dxf,Arandela con agujeros,"D_exterior=723.12, D_interior=395.23, Agujeros=47, D_agujero=7.36",Arandela Ø723.1/Ø395.2mm con 47 agujeros de Ø7.4mm (circular)
WASH_246_D322.2-211.9.dxf,Arandela,"D_exterior=322.17, D_interior=211.91",Arandela Ø322.2mm / Ø211.9mm
WASH_246_D322.2-211.9_32holes.dxf,Arandela con agujeros,"D_exterior=322.17, D_interior=211.91, Agujeros=32, D_agujero=13.91",Arandela Ø322.2/Ø211.9mm con 32 agujeros de Ø13.9mm (circular)
RECT_247_1047.6x202.7.dxf,Rectangulo,"Ancho=1047.61, Largo=202.67",Rectángulo de 1047.6mm x 202.7mm
RECT_247_1047.6x202.7_16holes.dxf,Rectangulo con agujeros,"Ancho=1047.61, Largo=202.67, Agujeros=16, Diametros=[5.66, 14.57, 10.94, 5.88, 12.30, 4.58, 9.95, 5.04, 13.26, 13.48, 5.88, 9.86, 4.54, 11.17, 12.09, 7.46]",Rectángulo 1047.6x202.7mm con 16 agujeros (distribución cuadricula)
RECT_248_656.6x793.5.dxf,Rectangulo,"Ancho=656.62, Largo=793.52",Rectángulo de 656.6mm x 793.5mm
RECT_248_656.6x793.5_16holes.dxf,Rectangulo con agujeros,"Ancho=656.62, Largo=793.52, Agujeros=16, Diametros=[14.31, 13.53, 7.14, 4.36, 10.24, 8.46, 7.94, 11.82, 7.02, 4.19, 12.31, 11.83, 12.95, 7.12, 10.06, 12.10]",Rectángulo 656.6x793.5mm con 16 agujeros (distribución cuadricula)
RECT_249_1960.9x533.3.dxf,Rectangulo,"Ancho=1960.94, Largo=533.27",Rectángulo de 1960.9mm x 533.3mm
RECT_249_1960.9x533.3_32holes.dxf,Rectangulo con agujeros,"Ancho=1960.94, Largo=533.27, Agujeros=32, Diametros=[6.29, 9.73, 9.06, 8.74, 7.70, 14.28, 14.05, 14.44, 14.95, 5.10, 5.60, 5.63, 6.79, 5.25, 11.23, 6.78, 8.99, 13.73, 4.01, 8.05, 11.77, 8.47, 14.73, 4.32, 7.20, 6.74, 11.51, 14.12, 5.34, 14.91, 6.17, 5.78]",Rectángulo 1960.9x533.3mm con 32 agujeros (distribución aleatoria)
WASH_250_D305.6-206.7.dxf,Arandela,"D_exterior=305.65, D_interior=206.69",Arandela Ø305.6mm / Ø206.7mm
WASH_250_D305.6-206.7_30holes.dxf,Arandela con agujeros,"D_exterior=305.65, D_interior=206.69, Agujeros=30, D_agujero=13.81",Arandela Ø305.6/Ø206.7mm con 30 agujeros de Ø13.8mm (circular)
RECT_251_1945.1x860.7.dxf,Rectangulo,"Ancho=1945.15, Largo=860.74",Rectángulo de 1945.1mm x 860.7mm
RECT_251_1945.1x860.7_4holes.dxf,Rectangulo con agujeros,"Ancho=1945.15, Largo=860.74, Agujeros=4, Diametros=[8.25, 7.93, 6.61, 6.60]",Rectángulo 1945.1x860.7mm con 4 agujeros (distribución circular)
RECT_252_910.4x1217.9.dxf,Rectangulo,"Ancho=910.35, Largo=1217.91",Rectángulo de 910.4mm x 1217.9mm
RECT_252_910.4x1217.9_4holes.dxf,Rectangulo con agujeros,"Ancho=910.35, Largo=1217.91, Agujeros=4, Diametros=[11.54, 6.09, 4.24, 13.27]",Rectángulo 910.4x1217.9mm con 4 agujeros (distribución cuadricula)
RECT_253_1859.1x413.1.dxf,Rectangulo,"Ancho=1859.12, Largo=413.06",Rectángulo de 1859.1mm x 413.1mm
RECT_253_1859.1x413.1_8holes.dxf,Rectangulo con agujeros,"Ancho=1859.12, Largo=413.06, Agujeros=8, Diametros=[6.16, 7.31, 10.25, 5.58, 9.38, 11.64, 11.81, 10.66]",Rectángulo 1859.1x413.1mm con 8 agujeros (distribución cuadricula)
RECT_254_1985.9x1080.7.dxf,Rectangulo,"Ancho=1985.87, Largo=1080.69",Rectángulo de 1985.9mm x 1080.7mm
RECT_254_1985.9x1080.7_1holes.dxf,Rectangulo con agujeros,"Ancho=1985.87, Largo=1080.69, Agujeros=1, Diametros=[11.17]",Rectángulo 1985.9x1080.7mm con 1 agujeros (distribución cuadricula)
WASH_255_D779.5-546.0.dxf,Arandela,"D_exterior=779.54, D_interior=546.05",Arandela Ø779.5mm / Ø546.0mm
WASH_255_D779.5-546.0_24holes.dxf,Arandela con agujeros,"D_exterior=779.54, D_interior=546.05, Agujeros=24, D_agujero=5.36",Arandela Ø779.5/Ø546.0mm con 24 agujeros de Ø5.4mm (circular)
WASH_256_D1207.5-913.3.dxf,Arandela,"D_exterior=1207.52, D_interior=913.30",Arandela Ø1207.5mm / Ø913.3mm
WASH_256_D1207.5-913.3_13holes.dxf,Arandela con agujeros,"D_exterior=1207.52, D_interior=913.30, Agujeros=13, D_agujero=14.63",Arandela Ø1207.5/Ø913.3mm con 13 agujeros de Ø14.6mm (circular)
WASH_257_D1388.8-532.2.dxf,Arandela,"D_exterior=1388.77, D_interior=532.23",Arandela Ø1388.8mm / Ø532.2mm
WASH_257_D1388.8-532.2_26holes.dxf,Arandela con agujeros,"D_exterior=1388.77, D_interior=532.23, Agujeros=26, D_agujero=14.09",Arandela Ø1388.8/Ø532.2mm con 26 agujeros de Ø14.1mm (circular)
RECT_258_27.9x1222.1.dxf,Rectangulo,"Ancho=27.92, Largo=1222.09",Rectángulo de 27.9mm x 1222.1mm
RECT_258_27.9x1222.1_8holes.dxf,Rectangulo con agujeros,"Ancho=27.92, Largo=1222.09, Agujeros=8, Diametros=[9.86, 9.89, 6.93, 12.38, 4.09, 7.98, 14.40, 13.49]",Rectángulo 27.9x1222.1mm con 8 agujeros (distribución cuadricula)
WASH_259_D449.8-233.6.dxf,Arandela,"D_exterior=449.76, D_interior=233.64",Arandela Ø449.8mm / Ø233.6mm
WASH_259_D449.8-233.6_39holes.dxf,Arandela con agujeros,"D_exterior=449.76, D_interior=233.64, Agujeros=39, D_agujero=6.77",Arandela Ø449.8/Ø233.6mm con 39 agujeros de Ø6.8mm (circular)
WASH_260_D1394.3-943.5.dxf,Arandela,"D_exterior=1394.34, D_interior=943.50",Arandela Ø1394.3mm / Ø943.5mm
WASH_260_D1394.3-943.5_21holes.dxf,Arandela con agujeros,"D_exterior=1394.34, D_interior=943.50, Agujeros=21, D_agujero=4.41",Arandela Ø1394.3/Ø943.5mm con 21 agujeros de Ø4.4mm (circular)
WASH_261_D920.1-676.9.dxf,Arandela,"D_exterior=920.09, D_interior=676.94",Arandela Ø920.1mm / Ø676.9mm
WASH_261_D920.1-676.9_16holes.dxf,Arandela con agujeros,"D_exterior=920.09, D_interior=676.94, Agujeros=16, D_agujero=6.44",Arandela Ø920.1/Ø676.9mm con 16 agujeros de Ø6.4mm (circular)
RECT_262_1598.0x753.8.dxf,Rectangulo,"Ancho=1598.02, Largo=753.81",Rectángulo de 1598.0mm x 753.8mm
RECT_262_1598.0x753.8_4holes.dxf,Rectangulo con agujeros,"Ancho=1598.02, Largo=753.81, Agujeros=4, Diametros=[6.36, 8.80, 10.08, 10.47]",Rectángulo 1598.0x753.8mm con 4 agujeros (distribución circular)
RECT_263_112.9x66.2.dxf,Rectangulo,"Ancho=112.87, Largo=66.20",Rectángulo de 112.9mm x 66.2mm
RECT_263_112.9x66.2_16holes.dxf,Rectangulo con agujeros,"Ancho=112.87, Largo=66.20, Agujeros=16, Diametros=[14.30, 14.84, 13.91, 12.98, 6.50, 14.58, 12.05, 13.76, 10.16, 10.32, 11.49, 10.38, 5.59, 13.52, 12.80, 11.47]",Rectángulo 112.9x66.2mm con 16 agujeros (distribución circular)
RECT_264_2406.2x285.2.dxf,Rectangulo,"Ancho=2406.18, Largo=285.24",Rectángulo de 2406.2mm x 285.2mm
RECT_264_2406.2x285.2_2holes.dxf,Rectangulo con agujeros,"Ancho=2406.18, Largo=285.24, Agujeros=2, Diametros=[14.18, 6.77]",Rectángulo 2406.2x285.2mm con 2 agujeros (distribución cuadricula)
WASH_265_D1047.4-401.9.dxf,Arandela,"D_exterior=1047.35, D_interior=401.89",Arandela Ø1047.4mm / Ø401.9mm
WASH_265_D1047.4-401.9_6holes.dxf,Arandela con agujeros,"D_exterior=1047.35, D_interior=401.89, Agujeros=6, D_agujero=12.55",Arandela Ø1047.4/Ø401.9mm con 6 agujeros de Ø12.5mm (circular)
WASH_266_D604.9-259.6.dxf,Arandela,"D_exterior=604.88, D_interior=259.56",Arandela Ø604.9mm / Ø259.6mm
WASH_266_D604.9-259.6_8holes.dxf,Arandela con agujeros,"D_exterior=604.88, D_interior=259.56, Agujeros=8, D_agujero=13.54",Arandela Ø604.9/Ø259.6mm con 8 agujeros de Ø13.5mm (circular)
RECT_267_2279.3x548.9.dxf,Rectangulo,"Ancho=2279.34, Largo=548.86",Rectángulo de 2279.3mm x 548.9mm
RECT_267_2279.3x548.9_2holes.dxf,Rectangulo con agujeros,"Ancho=2279.34, Largo=548.86, Agujeros=2, Diametros=[4.55, 12.45]",Rectángulo 2279.3x548.9mm con 2 agujeros (distribución circular)
RECT_268_1377.1x475.8.dxf,Rectangulo,"Ancho=1377.12, Largo=475.81",Rectángulo de 1377.1mm x 475.8mm
RECT_268_1377.1x475.8_4holes.dxf,Rectangulo con agujeros,"Ancho=1377.12, Largo=475.81, Agujeros=4, Diametros=[13.82, 12.42, 14.18, 6.90]",Rectángulo 1377.1x475.8mm con 4 agujeros (distribución aleatoria)
WASH_269_D156.3-95.9.dxf,Arandela,"D_exterior=156.29, D_interior=95.88",Arandela Ø156.3mm / Ø95.9mm
WASH_269_D156.3-95.9_17holes.dxf,Arandela con agujeros,"D_exterior=156.29, D_interior=95.88, Agujeros=17, D_agujero=11.06",Arandela Ø156.3/Ø95.9mm con 17 agujeros de Ø11.1mm (circular)
RECT_270_1366.8x1370.7.dxf,Rectangulo,"Ancho=1366.84, Largo=1370.68",Rectángulo de 1366.8mm x 1370.7mm
RECT_270_1366.8x1370.7_2holes.dxf,Rectangulo con agujeros,"Ancho=1366.84, Largo=1370.68, Agujeros=2, Diametros=[7.30, 9.67]",Rectángulo 1366.8x1370.7mm con 2 agujeros (distribución aleatoria)
RECT_271_1291.1x912.2.dxf,Rectangulo,"Ancho=1291.14, Largo=912.24",Rectángulo de 1291.1mm x 912.2mm
RECT_271_1291.1x912.2_8holes.dxf,Rectangulo con agujeros,"Ancho=1291.14, Largo=912.24, Agujeros=8, Diametros=[9.31, 12.26, 5.24, 4.70, 6.81, 14.79, 4.71, 4.38]",Rectángulo 1291.1x912.2mm con 8 agujeros (distribución aleatoria)
WASH_272_D867.3-580.2.dxf,Arandela,"D_exterior=867.31, D_interior=580.16",Arandela Ø867.3mm / Ø580.2mm
WASH_272_D867.3-580.2_40holes.dxf,Arandela con agujeros,"D_exterior=867.31, D_interior=580.16, Agujeros=40, D_agujero=4.25",Arandela Ø867.3/Ø580.2mm con 40 agujeros de Ø4.2mm (circular)
RECT_273_1988.7x350.4.dxf,Rectangulo,"Ancho=1988.71, Largo=350.38",Rectángulo de 1988.7mm x 350.4mm
RECT_273_1988.7x350.4_1holes.dxf,Rectangulo con agujeros,"Ancho=1988.71, Largo=350.38, Agujeros=1, Diametros=[9.81]",Rectángulo 1988.7x350.4mm con 1 agujeros (distribución circular)
WASH_274_D674.3-326.6.dxf,Arandela,"D_exterior=674.26, D_interior=326.63",Arandela Ø674.3mm / Ø326.6mm
WASH_274_D674.3-326.6_49holes.dxf,Arandela con agujeros,"D_exterior=674.26, D_interior=326.63, Agujeros=49, D_agujero=8.33",Arandela Ø674.3/Ø326.6mm con 49 agujeros de Ø8.3mm (circular)
RECT_275_1162.6x584.7.dxf,Rectangulo,"Ancho=1162.56, Largo=584.67",Rectángulo de 1162.6mm x 584.7mm
RECT_275_1162.6x584.7_4holes.dxf,Rectangulo con agujeros,"Ancho=1162.56, Largo=584.67, Agujeros=4, Diametros=[14.14, 14.95, 6.36, 14.17]",Rectángulo 1162.6x584.7mm con 4 agujeros (distribución cuadricula)
WASH_276_D903.0-618.1.dxf,Arandela,"D_exterior=902.97, D_interior=618.09",Arandela Ø903.0mm / Ø618.1mm
WASH_276_D903.0-618.1_2holes.dxf,Arandela con agujeros,"D_exterior=902.97, D_interior=618.09, Agujeros=2, D_agujero=14.39",Arandela Ø903.0/Ø618.1mm con 2 agujeros de Ø14.4mm (circular)
WASH_277_D657.1-344.4.dxf,Arandela,"D_exterior=657.12, D_interior=344.45",Arandela Ø657.1mm / Ø344.4mm
WASH_277_D657.1-344.4_28holes.dxf,Arandela con agujeros,"D_exterior=657.12, D_interior=344.45, Agujeros=28, D_agujero=13.20",Arandela Ø657.1/Ø344.4mm con 28 agujeros de Ø13.2mm (circular)
WASH_278_D659.9-391.8.dxf,Arandela,"D_exterior=659.93, D_interior=391.80",Arandela Ø659.9mm / Ø391.8mm
WASH_278_D659.9-391.8_12holes.dxf,Arandela con agujeros,"D_exterior=659.93, D_interior=391.80, Agujeros=12, D_agujero=5.51",Arandela Ø659.9/Ø391.8mm con 12 agujeros de Ø5.5mm (circular)
RECT_279_2196.4x1170.9.dxf,Rectangulo,"Ancho=2196.40, Largo=1170.88",Rectángulo de 2196.4mm x 1170.9mm
RECT_279_2196.4x1170.9_2holes.dxf,Rectangulo con agujeros,"Ancho=2196.40, Largo=1170.88, Agujeros=2, Diametros=[5.48, 7.22]",Rectángulo 2196.4x1170.9mm con 2 agujeros (distribución aleatoria)
RECT_280_1358.3x123.6.dxf,Rectangulo,"Ancho=1358.33, Largo=123.58",Rectángulo de 1358.3mm x 123.6mm
RECT_280_1358.3x123.6_2holes.dxf,Rectangulo con agujeros,"Ancho=1358.33, Largo=123.58, Agujeros=2, Diametros=[8.59, 4.43]",Rectángulo 1358.3x123.6mm con 2 agujeros (distribución cuadricula)
RECT_281_1089.8x891.6.dxf,Rectangulo,"Ancho=1089.83, Largo=891.57",Rectángulo de 1089.8mm x 891.6mm
RECT_281_1089.8x891.6_2holes.dxf,Rectangulo con agujeros,"Ancho=1089.83, Largo=891.57, Agujeros=2, Diametros=[10.34, 7.67]",Rectángulo 1089.8x891.6mm con 2 agujeros (distribución cuadricula)
RECT_282_1291.7x258.9.dxf,Rectangulo,"Ancho=1291.69, Largo=258.86",Rectángulo de 1291.7mm x 258.9mm
RECT_282_1291.7x258.9_8holes.dxf,Rectangulo con agujeros,"Ancho=1291.69, Largo=258.86, Agujeros=8, Diametros=[13.40, 10.71, 8.56, 12.41, 12.37, 5.38, 8.78, 7.59]",Rectángulo 1291.7x258.9mm con 8 agujeros (distribución circular)
WASH_283_D58.8-35.4.dxf,Arandela,"D_exterior=58.83, D_interior=35.36",Arandela Ø58.8mm / Ø35.4mm
WASH_283_D58.8-35.4_12holes.dxf,Arandela con agujeros,"D_exterior=58.83, D_interior=35.36, Agujeros=12, D_agujero=4.74",Arandela Ø58.8/Ø35.4mm con 12 agujeros de Ø4.7mm (circular)
WASH_284_D701.0-430.2.dxf,Arandela,"D_exterior=700.99, D_interior=430.19",Arandela Ø701.0mm / Ø430.2mm
WASH_284_D701.0-430.2_4holes.dxf,Arandela con agujeros,"D_exterior=700.99, D_interior=430.19, Agujeros=4, D_agujero=7.88",Arandela Ø701.0/Ø430.2mm con 4 agujeros de Ø7.9mm (circular)
RECT_285_1743.1x913.2.dxf,Rectangulo,"Ancho=1743.10, Largo=913.24",Rectángulo de 1743.1mm x 913.2mm
RECT_285_1743.1x913.2_4holes.dxf,Rectangulo con agujeros,"Ancho=1743.10, Largo=913.24, Agujeros=4, Diametros=[10.87, 4.87, 11.92, 7.71]",Rectángulo 1743.1x913.2mm con 4 agujeros (distribución aleatoria)
RECT_286_660.3x34.2.dxf,Rectangulo,"Ancho=660.33, Largo=34.16",Rectángulo de 660.3mm x 34.2mm
RECT_286_660.3x34.2_8holes.dxf,Rectangulo con agujeros,"Ancho=660.33, Largo=34.16, Agujeros=8, Diametros=[8.52, 10.75, 9.36, 13.10, 6.62, 6.59, 14.54, 7.47]",Rectángulo 660.3x34.2mm con 8 agujeros (distribución aleatoria)
RECT_287_1326.5x1176.0.dxf,Rectangulo,"Ancho=1326.52, Largo=1176.04",Rectángulo de 1326.5mm x 1176.0mm
RECT_287_1326.5x1176.0_4holes.dxf,Rectangulo con agujeros,"Ancho=1326.52, Largo=1176.04, Agujeros=4, Diametros=[8.75, 4.16, 9.84, 9.71]",Rectángulo 1326.5x1176.0mm con 4 agujeros (distribución aleatoria)
WASH_288_D848.5-300.7.dxf,Arandela,"D_exterior=848.53, D_interior=300.72",Arandela Ø848.5mm / Ø300.7mm
WASH_288_D848.5-300.7_50holes.dxf,Arandela con agujeros,"D_exterior=848.53, D_interior=300.72, Agujeros=50, D_agujero=10.06",Arandela Ø848.5/Ø300.7mm con 50 agujeros de Ø10.1mm (circular)
RECT_289_1065.3x400.9.dxf,Rectangulo,"Ancho=1065.28, Largo=400.87",Rectángulo de 1065.3mm x 400.9mm
RECT_289_1065.3x400.9_16holes.dxf,Rectangulo con agujeros,"Ancho=1065.28, Largo=400.87, Agujeros=16, Diametros=[7.26, 12.94, 6.25, 11.23, 14.65, 6.06, 4.38, 6.55, 14.26, 7.63, 5.92, 10.20, 5.32, 4.30, 14.77, 13.67]",Rectángulo 1065.3x400.9mm con 16 agujeros (distribución cuadricula)
WASH_290_D219.8-86.9.dxf,Arandela,"D_exterior=219.79, D_interior=86.89",Arandela Ø219.8mm / Ø86.9mm
WASH_290_D219.8-86.9_32holes.dxf,Arandela con agujeros,"D_exterior=219.79, D_interior=86.89, Agujeros=32, D_agujero=8.58",Arandela Ø219.8/Ø86.9mm con 32 agujeros de Ø8.6mm (circular)
RECT_291_408.2x1088.6.dxf,Rectangulo,"Ancho=408.16, Largo=1088.61",Rectángulo de 408.2mm x 1088.6mm
RECT_291_408.2x1088.6_2holes.dxf,Rectangulo con agujeros,"Ancho=408.16, Largo=1088.61, Agujeros=2, Diametros=[8.94, 14.12]",Rectángulo 408.2x1088.6mm con 2 agujeros (distribución circular)
RECT_292_568.7x392.9.dxf,Rectangulo,"Ancho=568.66, Largo=392.91",Rectángulo de 568.7mm x 392.9mm
RECT_292_568.7x392.9_32holes.dxf,Rectangulo con agujeros,"Ancho=568.66, Largo=392.91, Agujeros=32, Diametros=[14.93, 10.64, 14.62, 13.26, 4.87, 10.92, 5.54, 11.70, 14.95, 5.47, 9.97, 8.62, 12.52, 7.15, 6.86, 14.60, 6.66, 11.83, 14.53, 6.82, 14.16, 10.48, 8.62, 7.42, 9.09, 6.27, 10.08, 14.79, 5.70, 8.23, 11.06, 4.27]",Rectángulo 568.7x392.9mm con 32 agujeros (distribución cuadricula)
WASH_293_D30.7-18.5.dxf,Arandela,"D_exterior=30.73, D_interior=18.52",Arandela Ø30.7mm / Ø18.5mm
